GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
37,North Carolina,NC,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,45.95374917676108
38,North Dakota,ND,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,78.76311940652215
39,Ohio,OH,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,65.85047913574718
40,Oklahoma,OK,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,66.29633021524572
41,Oregon,OR,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,38.79937841982719
42,Pennsylvania,PA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,66.56020825733249
44,Rhode Island,RI,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,65.45320937328214
45,South Carolina,SC,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,20.880502832382028
46,South Dakota,SD,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,83.02901533353665
47,Tennessee,TN,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,45.04148737135618
48,Texas,TX,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,63.604865403411424
49,Utah,UT,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,56.404704964287696
50,Vermont,VT,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,30.444500002916904
51,Virginia,VA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.92317616640814
53,Washington,WA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,21.452303319940953
54,West Virginia,WV,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,30.664260588998673
55,Wisconsin,WI,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,35.24097866723731
56,Wyoming,WY,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,30.283384410820986
72,Puerto Rico,PR,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,0,NA
000,United States,USA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.86164554202372
01,Alabama,AL,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,58.10994888745511
02,Alaska,AK,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,62.39613522712912
04,Arizona,AZ,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.217370374034175
05,Arkansas,AR,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,49.471486118252415
06,California,CA,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.60505140487458
08,Colorado,CO,2023,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,52.55132658202608
