GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
42,Pennsylvania,PA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,44.4454546297779
44,Rhode Island,RI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.584232236491175
45,South Carolina,SC,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.37014529562479
46,South Dakota,SD,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,37.30563596934698
47,Tennessee,TN,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,52.25445028437016
48,Texas,TX,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,55.596000722935074
49,Utah,UT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,60.06467843816375
50,Vermont,VT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,42.54939259275472
51,Virginia,VA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,49.059911858251176
53,Washington,WA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.001814927463485
54,West Virginia,WV,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.00131631921208
55,Wisconsin,WI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,46.76637410250122
56,Wyoming,WY,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,60.58759271615086
72,Puerto Rico,PR,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,0.75,NA
000,United States,USA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,54.25091930700739
01,Alabama,AL,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,48.056378502557365
02,Alaska,AK,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,56.53615707429337
04,Arizona,AZ,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,27.565537289225066
05,Arkansas,AR,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,43.133937238804336
06,California,CA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,51.57363340834249
08,Colorado,CO,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,72.28641449707965
