KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"District of Columbia: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: State reports a small number of adults as ACA expansion adults even though they have not expanded Medicaid coverage. KFF manually recodes these enrollees as Adult enrollees."
"Florida: A significant majority of Florida’s child Medicaid enrollees have an eligibility code suggesting they came in through a medically-needy pathway. Those children age categorized as ""disabled"" based on their eligibility group even though they are under the age of 19. "
"Idaho: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Idaho: Though Idaho expanded Medicaid under the ACA in 2020, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Idaho: Though Idaho expanded Medicaid under the ACA in 2020, adult expansion enrollees primarily show up in the traditional adult eligibility group."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Illinois: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Illinois: According to the DQ Atlas indicator ""Medicaid Expansion Enrollment,"" Illinois has ""Unusable"" data quality for their ACA Expansion Adults enrollment. Some enrollees in the traditional adult eligibility group may be reported under the ACA expansion adults group. Illinois' ACA expansion adult enrollment is not reported here, but is included in national and state totals."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Iowa: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column.,Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Kentucky: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Louisiana: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Maine: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for the ""Adult Expansion Enrollment"" indicator. This only applies to the ACA Expansion Adults eligibility column."
"Michigan: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Michigan: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
"Michigan: Denotes ""High Concern"" data quality according to the CMS DQ Atlas for at least one of the following indicators: ""Medicaid-Only Enrollment"", ""Eligibility Group Code"", ""Age"", ""Medicaid Beneficiary Expenditures,"" ""Restricted Benefits Code."" This applies across all columns."
